,Domain,Brand,Type,Monetization,Vertical
0,101lugaresincreibles.com,101Lugaresincreibles,travel,,Car Rental
1,10best.com,10Best,travel,,Information
2,12-travel.ch,12-Travel,travel,,Package tours
3,12-travel.de,12-Travel,travel,,Package tours
4,123milhas.com,123Milhas,travel,,Aggregator
5,123milhas.com.br,123Milhas,travel,,Aggregator
6,123west.com,123West,travel,,Hotels
7,12apostleshotel.com,12Apostleshotel,travel,,Hotels
8,12go.asia,12Go,travel,,Aggregator
9,16-25railcard.co.uk,16-25Railcard,travel,,Loyalty programs
10,1800hotels.com,1800Hotels,travel,,Other
11,1hai.cn,1Hai,travel,,Car Rental
12,1hotels.com,1Hotels,travel,,Hotels
13,21broadhotel.com,21Broadhotel,travel,,Hotels
14,25hours-hotels.com,25Hours-Hotels,travel,,Hotels
15,2bookaholiday.com,2Bookaholiday,travel,,Package tours
16,333travel.be,333Travel,travel,,Package tours
17,407etr.com,407Etr,travel,,Information
18,511wi.gov,511Wi,travel,,Information
19,5vorflug.de,5Vorflug,travel,,Flights
20,7dayspremiumhotel.com,7Dayspremiumhotel,travel,,Hotels
21,7springs.com,7Springs,travel,,Outdoors
22,BravoFLY_de,Bravofly_De,travel,,Flights
23,aa.,Aa,travel,,Flights
24,aa.co.nz,Aa,travel,,Flights
25,aa.com,Aa,travel,,Flights
26,aa.com.tr,Aa,travel,,Flights
27,aa.org,Aa,travel,,Flights
28,aaa.com,Aaa,travel,,Information
29,aanzee.com,Aanzee,travel,,Vacation Rentals
30,aarhuscharter.dk,Aarhuscharter,travel,,Package tours
31,aaroads.com,Aaroads,travel,,Information
32,aavacations,Aavacations,travel,,Package tours
33,aavacations.com,Aavacations,travel,,Package tours
34,ab-in-den-urlaub.at,Ab-In-Den-Urlaub,travel,partner_id,Package tours
35,ab-in-den-urlaub.ch,Ab-In-Den-Urlaub,travel,partner_id,Package tours
36,ab-in-den-urlaub.de,Ab-In-Den-Urlaub,travel,partner_id,Package tours
37,abacobeachresort.com,Abacobeachresort,travel,,Hotels
38,abadhotels.com,Abadhotels,travel,,Hotels
39,abay.org.vn,Abay,travel,,Flights
40,abay.vn,Abay,travel,,Flights
41,abbahoteles.com,Abbahoteles,travel,,Hotels
42,abbeybeach.com.au,Abbeybeach,travel,,Hotels
43,abcroisiere.com,Abcroisiere,travel,,Cruises
44,abhibus.com,Abhibus,travel,,Buses
45,abreu.pt,Abreu,travel,,Package tours
46,abritel.fr,Abritel,travel,,Vacation Rentals
47,absolutespa.com,Absolutespa,travel,,Tours and Activities
48,accor.cn,Accor,travel,,Information
49,accor.com,Accor,travel,,Information
50,accorhotels.com,AccorHotels,travel,,Hotels
51,accorplus.com,Accorplus,travel,,Loyalty programs
52,achat-hotels.com,Achat-Hotels,travel,,Hotels
53,achotelexperts.com,Achotelexperts,travel,,Other
54,acsi-eurocampings.ru,Acsi-Eurocampings,travel,,Camping
55,acsi.eu,Acsi,travel,,Camping
56,actievandedag.be,Actievandedag,travel,,Other
57,actievandedag.nl,Actievandedag,travel,,Other
58,adamare-singlereisen.de,Adamare-Singlereisen,travel,,Package tours
59,addisonlee.com,Addisonlee,travel,,Transfers
60,addresshotels.com,Addresshotels,travel,,Hotels
61,adelaideairport.com.au,Adelaideairport,travel,,Information
62,adelphi.com.au,Adelphi,travel,,Hotels
63,adelphi.edu,Adelphi,travel,,Hotels
64,adelphigrande.com,Adelphigrande,travel,,Hotels
65,adler-resorts.com,Adler-Resorts,travel,,Hotels
66,ado.com.mx,Ado,travel,,Buses
67,adrenaline-travel.com,Adrenaline-Travel,travel,,Package tours
68,aegeanair.com,Aegeanair,travel,,Flights
69,aena-aeropuertos.es,Aena-Aeropuertos,travel,,Information
70,aena.es,Aena,travel,,Information
71,aeoloshotel.com,Aeoloshotel,travel,,Hotels
72,aerlingus.com,Aerlingus,travel,,Flights
73,aeroflot.com,Aeroflot,travel,,Flights
74,aeromexico.com,Aeromexico,travel,,Flights
75,aerotaxi.com,Aerotaxi,travel,,Flights
76,aferry.co.uk,Aferry,travel,,Water transport
77,aferry.com,Aferry,travel,,Water transport
78,affinia.com,Affinia,travel,,Hotels
79,affordabletours.com,Affordabletours,travel,,Package tours
80,aftonhouseinn.com,Aftonhouseinn,travel,,Hotels
81,afvclub.com,Afvclub,travel,,Package tours
82,agoda.co.uk,Agoda,travel,cid/adid,Hotels
83,agoda.com,Agoda,travel,cid/adid,Hotels
84,aida-onlineshop.de,Aida-Onlineshop,travel,affID2,Shopping
85,air-journal.fr,Air-Journal,travel,,Information
86,airarabia.com,Airarabia,travel,,Flights
